,x_hat_e,x_hat_n,gt_e,gt_n,pe,ul
0,77.46828,-37.70285,56.61891543211214,-103.42306460239841,68.94811410989644,121.947075
1,76.770874,-40.08011,62.76891713045601,-110.32671574388486,71.62849018427144,123.587395
2,85.73739,-27.092417,62.76891713045601,-110.32671574388486,86.34523269372579,163.46794
3,85.265656,-28.86497,68.2336822385678,-116.54689042613141,89.32081176463551,162.74263
4,93.11,-27.984207,68.2336822385678,-116.54689042613141,91.99010862160453,178.38684
5,93.32389,-27.83054,72.40238579405651,-121.25308352407342,95.73651895111132,177.6485
6,96.94952,-25.714024,72.40238579405651,-121.25308352407342,98.64214915018887,178.86417
7,97.92498,-22.606754,74.88889716162747,-124.10694361296723,104.08145632165284,179.50406
8,98.63858,-29.733795,74.88889716162747,-124.10694361296723,97.31566471036955,185.37254
9,98.102974,-29.951084,75.73156920306825,-125.0687911202317,97.71314103828914,185.93384
10,97.39164,-32.3146,75.73156920306825,-125.0687911202317,95.24966284759282,185.40259
11,96.31086,-36.375603,75.752464432847,-125.08171040661784,91.05724109410853,182.83841
12,68.279236,-133.44092,75.752464432847,-125.08171040661784,11.212738143294386,24.888834
13,70.23049,-130.12553,75.75246464181618,-125.0734057405968,7.484396193714381,24.061665
14,67.4465,-135.94452,75.75246464181618,-125.0734057405968,13.681012698334921,17.38076
15,68.0031,-135.15707,75.75246485095755,-125.0675618189813,12.722065451368797,17.030249
16,67.96977,-134.22969,75.75246485095755,-125.0675618189813,12.021435257643585,17.426691
17,68.05002,-134.50131,75.75275131440837,-125.06387108491386,12.181846805137333,16.684315
18,71.453255,-130.32446,75.75275131440837,-125.06387108491386,6.79407810421278,20.335812
19,71.51599,-130.06802,75.75361007350153,-125.06725471062325,6.5547771835394,19.520407
20,71.46149,-130.24838,75.75361007350153,-125.06725471062325,6.728031505002604,18.286179
21,71.65496,-130.48618,75.75361008848877,-125.06786992163616,6.7938916025490546,18.770796
22,71.24065,-130.43806,75.75361008848877,-125.06786992163616,7.014686893295283,20.33318
23,71.37005,-130.05046,75.75361007657504,-125.06786990192978,6.636401442477562,19.506575
24,71.920334,-129.90996,75.75361007657504,-125.06786990192978,6.175744698242582,20.039011
25,71.24051,-130.61555,75.75361006466132,-125.06786988222342,7.151565491083815,20.63883
26,72.21614,-130.27058,75.75361006466132,-125.06786988222342,6.291416730102893,21.668417
27,72.23931,-130.2695,75.75361005270425,-125.0678698625531,6.277520211368175,21.25257
28,72.0624,-129.83594,75.75361005270425,-125.0678698625531,6.029883465755043,21.649502
29,72.80001,-129.75763,75.75361002883342,-125.0678698231764,5.5423455272778295,21.234123
30,72.36784,-129.64417,75.75361002883342,-125.0678698231764,5.692617326364972,19.308329
31,72.781204,-129.3421,75.7536100169197,-125.06786980347002,5.206174939811439,19.185701
32,72.20914,-131.23972,75.7536100169197,-125.06786980347002,7.117230463653397,21.312012
33,71.06282,-131.94774,75.7536099930489,-125.0678697636625,8.326830281697212,21.386984
34,71.49281,-130.68027,75.7536099930489,-125.0678697636625,7.046516626174823,20.762394
35,71.14233,-130.93567,75.75360998151663,-125.06786974406455,7.462908558365603,18.571552
36,71.64583,-131.21976,75.75360995764584,-125.06786970468785,7.397269013712088,20.555122
37,71.46393,-131.00964,75.75360995764584,-125.06786970468785,7.328440889578281,16.099804
38,69.2224,-132.35553,75.75360995764584,-125.06786970468785,9.78604793051228,19.21829
39,68.83094,-133.54036,75.75360994615691,-125.06786968505385,10.9410437977432,19.608742
40,71.06853,-131.15709,75.75360994615691,-125.06786968505385,7.683006888135452,18.058033
41,70.545715,-131.70767,75.75360992228612,-125.06786964567716,8.438550998235266,18.14343
42,72.416115,-130.06631,75.75360992228612,-125.06786964567716,6.0102684280693675,16.250582
43,71.67911,-130.97348,75.75360990994757,-125.06786962589842,7.174803487163503,17.729282
44,71.72214,-130.95825,75.75360990994757,-125.06786962589842,7.137883029776414,19.469221
45,71.73638,-131.29774,75.75360988650158,-125.0678695865941,7.412790852705195,19.569397
46,71.954956,-130.87189,75.75360988650158,-125.0678695865941,6.9365979753983655,17.5369
47,72.512184,-130.04997,75.75360986267412,-125.06786954718136,5.943752254997854,16.825705
48,71.0928,-131.00876,75.75360986267412,-125.06786954718136,7.550983042628853,16.476454
49,70.96475,-131.05971,75.75360985071705,-125.06786952751102,7.670415999832632,17.232811
50,71.019516,-131.02432,75.75360985071705,-125.06786952751102,7.6086120153693795,15.618585
51,70.95301,-131.1113,75.75360982727106,-125.06786948820671,7.718081158283943,14.774969
52,71.479294,-130.44696,75.75360982727106,-125.06786948820671,6.870545601998344,19.825682
53,71.338005,-130.60278,75.75360980344361,-125.06786944879397,7.080454467471823,19.0124
54,72.12732,-129.82748,75.75360980344361,-125.06786944879397,5.983637228012594,21.311409
55,72.3225,-129.87886,75.7536097795728,-125.06786940941728,5.909156850191389,21.03637
56,69.206375,-131.59917,75.7536097795728,-125.06786940941728,9.247925614998572,22.569141
57,68.76957,-131.47429,75.753609755702,-125.06786937004058,9.477290300725459,22.4268
58,71.677124,-130.80801,75.753609755702,-125.06786937004058,7.040383180910189,20.824043
59,71.37886,-131.4064,75.75360973183119,-125.06786933023305,7.701651441771329,20.542343
60,73.010025,-129.69626,75.75360973183119,-125.06786933023305,5.380450145612442,22.07397
61,72.56392,-129.82764,75.7536097083852,-125.06786929092874,5.729704386113338,21.69243
62,71.00255,-130.83455,75.7536097083852,-125.06786929092874,7.471758800990091,20.6999
63,70.36962,-131.58871,75.75360968451439,-125.06786925155204,8.45628495422704,21.446733
64,69.16246,-132.65054,75.75360968451439,-125.06786925155204,10.046899733503254,21.607828
65,69.755196,-131.50308,75.7536096610684,-125.0678692118169,8.797325628255424,23.932947
66,68.61139,-132.4592,75.7536096610684,-125.0678692118169,10.278280737059172,22.425447
67,68.70018,-132.65265,75.75360965066974,-125.06817678778181,10.357368714656454,21.762737
68,70.05718,-131.96765,75.75360965066974,-125.06817678778181,8.94718022040888,18.491817
69,70.28731,-131.32356,75.75532708766448,-125.07002241201754,8.30698505796758,18.518724
70,70.202324,-130.53336,75.75532708766448,-125.07002241201754,7.78998427520142,15.273342
71,70.07402,-130.51625,75.75761860711646,-125.07002516099837,7.871763486487074,15.670154
72,72.189224,-131.50925,75.75761860711646,-125.07002516099837,7.361862127880897,13.718753
73,71.87483,-130.72243,75.75990946086485,-125.07002680560369,6.858823354280989,13.918756
74,71.93374,-129.55396,75.75990946086485,-125.07002680560369,5.894505524587963,10.999282
75,72.0025,-129.58205,75.76248608468106,-125.07002768034987,5.873311749420757,11.091494
76,72.33099,-130.13063,75.76248608468106,-125.07002768034987,6.114314445810844,13.104066
77,71.56674,-129.88412,75.76677984684464,-125.0715660899636,6.387569123179919,12.979076
78,71.36839,-129.35065,75.76677984684464,-125.0715660899636,6.136476231909144,13.43084
79,71.80729,-128.88869,75.81057363153018,-125.11832048188762,5.499268273299949,13.186421
80,73.0455,-129.92775,75.81057363153018,-125.11832048188762,5.547632964067697,16.383757
81,72.902756,-130.0191,76.08535798834428,-125.43698812979954,5.578955365663267,16.270449
82,73.87663,-130.59784,76.08535798834428,-125.43698812979954,5.61363098316404,12.9999895
83,72.399506,-131.03285,76.70591266886854,-126.16168010418366,6.50180429066889,11.937906
84,73.43741,-132.7912,76.70591266886854,-126.16168010418366,7.3914570324731645,12.495175
85,72.95542,-132.24399,77.775282024626,-127.41112789211839,6.825510468934031,12.20287
86,76.299225,-132.83553,77.775282024626,-127.41112789211839,5.621639824687007,11.753493
87,75.74886,-132.27783,78.91649636230989,-128.77899943059245,4.719717077359933,11.96396
88,77.507965,-133.59814,78.91649636230989,-128.77899943059245,5.020768850704922,12.089054
89,77.18425,-133.74483,79.8447533356162,-129.98261598197047,4.6078750447423955,12.709423
90,75.56894,-136.34991,79.8447533356162,-129.98261598197047,7.669750811459531,13.105345
91,75.59778,-136.36461,80.31074250107433,-130.62456530335314,7.426986623571027,14.391055
